Tail,Day,Month,Flight ID,Mach Indicated,Mach True,Pressure Altitude Indicated (ft),Pressure Altitude True (ft),Gross Weight Indicated (lb),Gross Weight Indicated (kg),Gross Weight True (lb),Gross Weight Effective (lb),W/delta Effective,Payload Weight (lb),Fuel Weight (lb),AoA True (deg),AoA Indicated (deg),True Track (deg),Latitude (deg),OAT (K),T Standard Day (K),ISA Deviation (deg C),theta,theta total,delta,delta total,KTAS,q (psf),g Effective (ft/sec^2),CL,CD Polar,Delta CD Reynolds,CD,L/D,Mach(L/D),FF Factor Eng 1,FF Factor Eng 2,Climb Rate (ft/min),Accel (knots/min),Excess Thrust Climb (lb),Excess Thrust Accel (lb),Excess Thrust Total (lb),Fnet Total (lb),Fnet Eng 1 (lb),Fnet Eng 2 (lb),Fnet Cor Eng 1 (lb),Fnet Cor Eng 2 (lb),Fnet Cor Total (lb),FHV ratio,FHV (BTU/lb),Wfdot Base Eng 1 (lb/hr),Wfdot Base Eng 2 (lb/hr),Fuel Flow Engine #1 (kg/hr),Fuel Flow Engine #2 (kg/hr),Wfdot Total (lb/hr),Wfdot Eng 1 (lb/hr),Wfdot Eng 2 (lb/hr),Wfdot Cor Total (lb/hr),Corrected Fuel Flow Engine #1 (lb/hr),Corrected Fuel Flow Engine #2 (lb/hr),Corrected Fuel Flow Engine #1 (kg/hr),Corrected Fuel Flow Engine #2 (kg/hr),Corrected N1 Engine #1 (%),Corrected N1 Engine #2 (%),N1 Eng 1 (%),N1 Eng 2 (%),SFC Baseline (1/hr),Specific Range (nm/lb),Specific Range (nm/kg)
1,0,0,0,0.773797744,0.773310847,37000.80029,37004.92627,149963.5752,68022.3335,149979.2881,148926.1991,696751.3124,19596.02227,34883.26578,3.50566921,3.553787152,157.2640917,28.46355464,216.5556422,214.8358401,1.719802158,0.751537887,0.841423271,0.213743694,0.31740667,443.4506914,189.3475436,31.94813646,0.586957467,0.033956345,0.000448702,0.035289587,16.63259668,12.86216742,1.000666404,1.01301504,-5.837494767,-0.127537464,-19.51372917,-16.60639763,-36.1201268,8917.755326,4468.624815,4449.13051,20906.4639,20815.25978,41721.72368,1.004174274,18502.7644,2669.072053,2657.428268,1210.670718,1205.389186,5385.251606,2681.999595,2703.252011,18496.20756,9211.606963,9284.600599,4178.314634,4211.42399,97.45101733,97.34086643,89.39096731,89.28992685,0.597291597,0.082345399,0.181540529
1,0,0,0,0.773490626,0.772983975,37005.84568,36999.95995,149247.1528,67697.36974,149255.5352,148185.1501,693118.8478,19596.02227,34159.51294,3.486578752,3.498832562,156.9290269,26.89124064,216.532542,214.8456794,1.686862682,0.75145772,0.841257553,0.21379472,0.317382127,443.2396062,189.2326705,31.94331257,0.584391335,0.03380901,0.000449253,0.035142802,16.62904769,12.85398738,0.998591334,1.012406642,-6.841949068,0.019951732,-22.76500457,2.58494822,-20.18005635,8891.042812,4455.239362,4435.80345,20838.86524,20747.95602,41586.82126,1.004174274,18502.7644,2660.372663,2648.76683,1206.724741,1201.460424,5360.537552,2667.714567,2692.822985,18414.56181,9164.154582,9250.407224,4156.790596,4195.914136,97.33616697,97.33241993,89.27682322,89.27338643,0.597133498,0.082685664,0.182290685
1,0,0,0,0.77352056,0.77262189,36999.71691,37003.07269,146286.1534,66354.283,146296.9924,145240.7484,679448.395,19596.02227,31200.97015,3.399992642,3.409802142,156.7923841,26.39614399,216.70884,214.8395124,1.869327659,0.752069547,0.841858316,0.213762737,0.317223615,443.2123007,189.0271472,31.94175639,0.573402391,0.03322177,0.000450948,0.034557258,16.59282076,12.81997654,0.999699435,1.011198505,-18.82655812,0.639546109,-61.45189825,81.21324996,19.76135171,8772.989662,4396.083754,4376.905908,20565.24827,20475.5327,41040.78097,1.004174274,18502.7644,2625.502151,2614.048439,1190.907743,1185.712427,5290.025108,2635.669286,2654.355822,18174.92886,9055.363782,9119.565076,4107.443919,4136.565136,97.08957281,97.01681357,89.08243782,89.01567915,0.597236608,0.083782646,0.184709117
1,0,0,0,0.773938293,0.774311379,37002.64845,37000.66082,146046.6578,66245.64964,146006.9408,144947.0448,677995.8248,19596.02227,30910.91853,3.362635603,3.3720678,156.8239588,25.93204559,216.1614606,214.8442908,1.317169812,0.750169914,0.840124005,0.213787518,0.317779207,443.6201428,189.8767504,31.94049017,0.569682366,0.033087818,0.000444562,0.03441692,16.55239229,12.81670569,0.997714746,1.012855264,-6.405611068,0.003352697,-20.79401503,0.424883855,-20.36913117,8736.494666,4377.796367,4358.698299,20477.32441,20387.99241,40865.31682,1.004174274,18502.7644,2614.129588,2602.725489,1185.749235,1180.576423,5266.231158,2619.042792,2647.188366,18080.17978,8991.774781,9088.404996,4078.600433,4122.431162,97.06186333,96.77784911,88.96523317,88.70491063,0.597133665,0.084238638,0.185714408
1,0,0,0,0.774617018,0.774270794,36991.989,36988.34945,145564.6845,66027.03021,145570.0059,144514.2331,675571.4579,19596.02227,30473.98363,3.346970197,3.303499902,157.04114,25.85422185,216.0159199,214.8686821,1.147237797,0.749664827,0.839548929,0.21391406,0.31795481,443.4475294,189.969223,31.94070045,0.567704815,0.03298544,0.000443157,0.034313137,16.54482395,12.81017397,1.000878831,1.010978,-5.902708249,-0.201702667,-19.09666679,-25.48524511,-44.5819119,8690.127717,4354.562213,4335.565504,20356.59657,20267.79124,40624.38782,1.004174274,18502.7644,2599.31205,2587.972592,1179.028113,1173.884622,5239.761037,2612.456182,2627.304855,17985.52317,8967.27749,9018.245683,4067.488649,4090.607433,96.67953061,96.66973206,88.58445941,88.57548131,0.596916963,0.084631251,0.18657997
1,0,0,0,0.774045515,0.773283217,36996.75163,36993.95964,144849.5785,65702.6636,144875.7032,143813.0783,672475.0223,19596.02227,29779.68089,3.342040239,3.32756697,156.999652,24.82006546,215.9371388,214.8575672,1.079571626,0.749391424,0.839013682,0.213856386,0.317565533,442.8011485,189.4338367,31.93806044,0.56654711,0.032892169,0.000447419,0.034224128,16.55402603,12.8009505,1.00051718,1.010003885,6.166854589,0.360774375,19.87720291,45.36287972,65.24008263,8752.738704,4385.936141,4366.802564,20508.79196,20419.32268,40928.11465,1.004174274,18502.7644,2615.892363,2604.480574,1186.548817,1181.372516,5269.686422,2628.170349,2641.516073,18116.19101,9035.15546,9081.035553,4098.277579,4119.088438,96.91413313,96.93261096,88.77110728,88.78803255,0.596427371,0.084027988,0.185250004
1,0,0,0,0.774372489,0.773841644,37012.02119,37020.72436,143091.095,64905.02891,143108.0678,142056.4042,665115.8111,19596.02227,28012.0455,3.283395445,3.270377047,157.0202272,24.69310729,215.9826373,214.8045409,1.178096425,0.749549323,0.83931998,0.213581457,0.317328629,443.1675988,189.4636513,31.93760994,0.559538683,0.03255423,0.000448781,0.033887551,16.51162934,12.7773864,1.001780164,1.011447608,-3.034114388,0.082774882,-9.656625294,10.28077698,0.624151691,8604.039439,4311.423979,4292.61546,20186.32157,20098.25906,40284.58063,1.004174274,18502.7644,2572.65058,2561.427433,1166.934674,1161.84394,5189.552532,2587.988384,2601.564148,17850.76678,8902.034768,8948.732012,4037.895048,4059.076562,96.54183277,96.34679614,88.44622882,88.26754717,0.596705542,0.08539611,0.188266196
1,0,0,0,0.774939928,0.774658466,36986.72084,36978.92828,140169.4407,63579.78879,140152.4612,139122.5633,650072.1885,19596.02227,25056.43896,3.169269442,3.197227355,156.9806856,24.68750721,215.718048,214.8873473,0.830700694,0.748631088,0.838481153,0.214010945,0.318218226,443.3635594,190.2456296,31.9376204,0.54573032,0.031892583,0.000440574,0.033217697,16.42890293,12.72678874,0.998432293,1.012143863,-11.74698912,-0.005151248,-36.53970273,-0.62658006,-37.16628279,8430.992783,4224.71151,4206.281273,19740.63296,19654.51476,39395.14771,1.004174274,18502.7644,2520.693473,2509.696988,1143.367326,1138.379405,5078.025119,2527.247332,2550.777787,17427.0205,8673.133753,8753.886746,3934.067294,3970.696236,95.91641531,95.84744085,87.82933451,87.76617555,0.59665458,0.087310234,0.192486116
1,0,0,0,0.774857617,0.775231713,37002.57165,37002.66601,136972.4564,62129.66113,136922.7654,135915.1071,635809.8354,19596.02227,21826.74309,3.064733436,3.031933398,156.8290052,24.65260092,215.1541795,214.8403181,0.313861382,0.74667423,0.836422115,0.213766915,0.318031907,443.1113827,190.3100451,31.93726949,0.532968107,0.031288728,0.000441465,0.032614733,16.3413298,12.66831709,0.998825125,1.012538816,9.696553676,-0.086204895,29.41246763,-10.24392077,19.16854686,8336.429675,4177.326598,4159.103077,19541.50199,19456.25249,38997.75448,1.004174274,18502.7644,2490.082248,2479.219303,1129.482308,1124.554959,5018.323263,2497.538784,2520.78448,17253.41969,8586.749511,8666.67018,3894.884061,3931.135467,95.79434524,95.60694627,87.60978746,87.43839964,0.596094701,0.088298692,0.194665295
1,0,0,0,0.775215052,0.774671338,36990.17758,36992.66031,133794.5572,60688.19031,133808.3175,132821.4038,621038.7799,19596.02227,18712.29525,2.973882491,3.002243953,157.1238299,24.20543643,214.9617559,214.8601414,0.101614549,0.746006441,0.835544474,0.213869742,0.318012232,442.593031,190.1264257,31.93674634,0.521339683,0.030716029,0.000442258,0.032042827,16.27009005,12.60397244,1.00046983,1.014843599,1.377678256,0.173322,4.084527958,20.12742923,24.21195719,8187.74414,4102.821317,4084.922823,19183.73901,19100.05025,38283.78926,1.004174274,18502.7644,2443.692467,2433.031898,1108.440258,1103.604705,4934.499762,2455.046021,2479.453741,16975.18522,8445.61008,8529.575139,3830.864292,3868.950202,95.20223363,95.10698102,87.02257371,86.93550508,0.595612696,0.089693597,0.197740532
1,0,0,0,0.775541741,0.775920693,37011.14989,37009.58597,131455.3047,59627.12322,131451.0468,130479.478,610585.0486,19596.02227,16355.02454,2.885608866,2.857020731,157.0738873,24.11934756,214.9763411,214.8266083,0.149732846,0.746057058,0.835890224,0.213695829,0.318138519,443.3218638,190.5850696,31.9362467,0.510914863,0.030268222,0.000439745,0.031592508,16.17202627,12.54820983,0.999312676,1.01451583,7.691073393,0.479913796,22.36855046,54.74847117,77.11702163,8145.337774,4081.571783,4063.765991,19099.91321,19016.59015,38116.50336,1.004174274,18502.7644,2433.078056,2422.463791,1103.625642,1098.811092,4909.441772,2441.555097,2467.886676,16878.78711,8394.129231,8484.657877,3807.512972,3848.576075,95.12892767,95.05434061,86.97355544,86.90536271,0.596113014,0.090299852,0.199077096
1,0,0,1,0.774285274,0.774107229,37005.82117,37009.63641,148265.5607,67252.12708,148033.7509,147403.9743,689785.7228,9555.401886,42978.34896,3.44538718,3.447265926,216.4036022,25.81416269,215.7121462,214.8265083,0.885637866,0.748610606,0.83833039,0.213695311,0.317579391,443.0420073,189.6947889,32.03717125,0.579894506,0.033611322,0.000446428,0.03494229,16.59577833,12.84691198,1.002088855,1.010201991,11.43935908,-0.521251751,37.73791836,-67.17741241,-29.43949405,8852.576849,4435.964337,4416.612512,20758.36069,20667.80267,41426.16337,0.998442559,18608.9824,2645.760387,2634.218299,1200.096725,1194.861322,5304.105849,2647.157774,2656.948076,18241.15216,9103.741351,9137.410813,4129.387615,4144.659826,97.25441818,97.18734405,89.04651865,88.98510532,0.596434098,0.083528123,0.18414799
1,0,0,1,0.774222659,0.773892963,37012.35039,37008.17986,147815.9219,67048.17434,147632.8051,147004.3893,687867.6836,9555.401886,42577.40326,3.436001716,3.432548226,216.071816,26.02196205,215.6368817,214.8293941,0.807487647,0.748349407,0.837988244,0.213710271,0.31753578,442.8421003,189.6030645,32.03709604,0.578602294,0.033536558,0.000447016,0.034868114,16.5940233,12.84199786,1.000081859,1.010358517,10.99172709,-0.323938926,36.16611905,-41.6351364,-5.469017359,8853.406653,4436.380146,4417.026507,20758.85319,20668.29302,41427.1462,0.998442559,18608.9824,2645.18058,2633.641021,1199.833728,1194.599473,5298.054468,2641.277061,2656.777406,18226.56323,9086.619185,9139.944047,4121.621132,4145.808882,97.2637928,97.20249172,89.03692727,88.98081123,0.596247502,0.083585796,0.184275137
1,0,0,1,0.773811099,0.773897773,37004.3412,37004.70852,147810.051,67045.51136,147610.4146,146990.0173,687685.6873,9555.401886,42555.01276,3.434695023,3.447933698,216.0986074,26.92663283,215.5098719,214.8362715,0.673600413,0.747908631,0.837495783,0.213745931,0.317590242,442.7144162,189.637059,32.03882304,0.578442016,0.033528398,0.000446561,0.034859499,16.5935262,12.84169298,0.99879284,1.01135401,20.44690138,-0.100738753,67.24755084,-12.94645786,54.30109298,8912.576033,4466.029508,4446.546525,20894.10307,20802.95288,41697.05595,0.998442559,18608.9824,2662.082886,2650.469592,1207.500486,1202.232784,5331.116524,2654.728294,2676.38823,18342.54993,9134.012748,9208.537184,4143.11849,4176.922205,97.43918633,97.35322585,89.17127232,89.09260576,0.596073734,0.08304347,0.183079513
1,0,0,1,0.77364095,0.772483365,37007.4326,37007.14534,146543.0557,66470.81194,146329.5755,145723.2214,681838.8981,9555.401886,41274.17358,3.418470732,3.425251451,216.4557592,27.68186587,215.8887646,214.8314436,1.057320951,0.749223545,0.838640461,0.213720898,0.317119078,442.2935839,188.9223868,32.04072715,0.575626185,0.033332273,0.00045196,0.034668773,16.60359262,12.8259991,0.999199586,1.011706164,-10.6602083,-0.209762175,-34.85308614,-26.72529399,-61.57838014,8715.029477,4367.040311,4347.989166,20433.37997,20344.23967,40777.61963,0.998442559,18608.9824,2602.983359,2591.627885,1180.693391,1175.542635,5214.731495,2596.849146,2617.882349,17956.49943,8942.036659,9014.462768,4056.039601,4088.891531,96.82975331,96.72617818,88.67408813,88.57923681,0.596052057,0.084816176,0.18698766
1,0,0,1,0.77333193,0.773038743,36989.71932,36997.70978,145020.0982,65780.01003,144834.0633,144237.2254,674579.9278,9555.401886,39778.66144,3.360232075,3.374467991,216.5600422,27.97788386,215.7567405,214.8501374,0.906603112,0.748765367,0.838256141,0.213817843,0.317433259,442.4762139,189.2799565,32.04146446,0.568679972,0.03299245,0.000448772,0.034325762,16.56714774,12.80704707,0.999762997,1.011899083,-2.835037387,-0.422325012,-9.164318788,-53.25871868,-62.42303746,8643.796504,4331.345966,4312.450538,20257.17731,20168.80569,40425.983,0.998442559,18608.9824,2581.845756,2570.582494,1171.105535,1165.996606,5174.332629,2577.21373,2597.118899,17803.83429,8867.672313,8936.16198,4022.308501,4053.374891,96.72503781,96.59786399,88.55789401,88.44145833,0.596083937,0.085513678,0.188525389
1,0,0,1,0.773272546,0.773174773,37012.62098,37014.62487,142812.2167,64778.53186,142620.2618,142031.9864,664806.5603,9555.401886,37564.85995,3.291936034,3.29356336,216.4399496,28.02247829,215.9282332,214.8166252,1.111608029,0.749360518,0.838953946,0.213644081,0.317217007,442.7299213,189.1927011,32.04133808,0.560243704,0.032567004,0.000450414,0.033901957,16.52540878,12.77702919,1.00069311,1.01138033,0.606524519,-0.089253623,1.931356393,-11.08354183,-9.152185434,8585.611687,4302.189962,4283.421726,20137.18306,20049.33492,40186.51798,0.998442559,18608.9824,2565.711013,2554.51814,1163.786939,1158.709937,5143.056229,2563.490619,2579.56561,17700.91633,8822.795425,8878.120908,4001.952687,4027.047904,96.50217378,96.36952938,88.39061524,88.26912036,0.596373251,0.086083041,0.18978062
1,0,0,1,0.773410959,0.773688657,36993.56472,36988.42978,142254.0876,64525.36876,142053.6236,141469.0223,661338.3374,9555.401886,36998.22174,3.260338987,3.249870224,216.4132864,28.15434298,216.2153111,214.8685229,1.34678817,0.750356797,0.840188633,0.213913234,0.31777453,443.3185816,189.6829408,32.04164087,0.556580875,0.032400565,0.000445263,0.033730368,16.50088347,12.76654637,1.000304766,1.01288153,0.716062018,0.521610585,2.270570194,64.51701996,66.78759015,8640.208676,4329.54813,4310.660545,20239.73953,20151.44399,40391.18351,0.998442559,18608.9824,2584.601021,2573.32574,1172.355303,1167.240921,5183.776811,2581.362129,2602.414681,17796.67249,8862.197982,8934.474507,4019.825386,4052.609466,96.63150775,96.50633498,88.57418333,88.45944772,0.596967846,0.085520384,0.188540172
